,0,1,2,3
0,10261.202982847484,0.02578498966556149,"0.00,0.21,0.01,0.62,0.16,0.00","1.000,1.068,1.014,1.028,0.978,1.020"
1,10391.967106172828,0.012663031400835856,"0.00,0.31,0.01,0.47,0.21,0.00","1.000,1.046,1.002,0.998,1.000,0.997"
2,10300.154881080794,-0.008874181939772274,"0.00,0.30,0.01,0.48,0.20,0.00","1.000,0.987,1.000,0.990,1.001,1.024"
3,10299.928608090613,-2.1968162440709755e-05,"0.00,0.31,0.01,0.48,0.20,0.00","1.000,1.000,1.000,1.000,1.000,1.000"
4,10299.895331413987,-3.230772915645913e-06,"0.00,0.31,0.01,0.48,0.20,0.00","1.000,1.000,1.000,1.000,1.000,1.000"
5,10353.593629588457,0.005199936850672908,"0.00,0.31,0.01,0.48,0.20,0.00","1.000,1.000,1.020,1.011,1.000,1.004"
6,10344.2641117532,-0.0009014960469516899,"0.00,0.31,0.01,0.48,0.20,0.00","1.000,0.987,1.000,1.006,1.000,1.004"
7,10565.609685346126,0.021172183444808416,"0.00,0.31,0.01,0.48,0.20,0.00","1.000,1.043,1.023,1.017,1.000,0.997"
8,10560.53119555248,-0.0004807778117262012,"0.00,0.31,0.01,0.48,0.20,0.00","1.000,1.008,1.011,0.990,1.009,1.048"
9,10614.31786561386,0.005080252103565734,"0.00,0.31,0.01,0.48,0.20,0.00","1.000,0.990,1.024,0.996,1.050,1.007"
10,10614.184897155015,-1.2527351583232942e-05,"0.00,0.31,0.01,0.48,0.20,0.00","1.000,1.000,1.000,1.000,1.000,1.000"
11,10614.16891617092,-1.5056263179827502e-06,"0.00,0.31,0.01,0.48,0.20,0.00","1.000,1.000,1.000,1.000,1.000,1.000"
12,10838.364510911604,0.020902310503724722,"0.00,0.31,0.01,0.48,0.20,0.00","1.000,1.008,1.056,1.023,1.036,1.012"
13,10552.116589890476,-0.026765644817693845,"0.00,0.31,0.01,0.48,0.20,0.00","1.000,0.969,0.969,0.974,0.980,0.990"
14,10497.457688101977,-0.005193361529980788,"0.00,0.31,0.01,0.48,0.20,0.00","1.000,1.000,0.991,0.998,0.980,1.016"
15,10327.619221929557,-0.01631131855875311,"0.00,0.31,0.01,0.48,0.20,0.00","1.000,0.991,0.970,0.992,0.954,0.993"
16,10252.482942839242,-0.007301869769848542,"0.00,0.31,0.01,0.48,0.20,0.00","1.000,0.987,1.004,0.988,1.011,0.982"
17,10252.297444121696,-1.809321670850432e-05,"0.00,0.31,0.01,0.48,0.20,0.00","1.000,1.000,1.000,1.000,1.000,1.000"
18,10252.278556881964,-1.8422463093502457e-06,"0.00,0.31,0.01,0.48,0.20,0.00","1.000,1.000,1.000,1.000,1.000,1.000"
19,9804.741117087402,-0.0446339229652109,"0.00,0.31,0.01,0.48,0.20,0.00","1.000,0.930,0.949,0.948,1.015,0.976"
20,9851.92437668614,0.004800748146602013,"0.00,0.31,0.01,0.48,0.20,0.00","1.000,1.000,1.025,1.002,1.018,0.988"
21,9702.443603662721,-0.015289032606880365,"0.00,0.31,0.01,0.48,0.20,0.00","1.000,0.974,0.991,0.984,1.002,1.015"
22,10068.213448466398,0.03700550604361689,"0.00,0.31,0.01,0.48,0.20,0.00","1.000,1.055,1.017,1.030,1.032,1.009"
23,10089.639212105558,0.0021257990192269085,"0.00,0.30,0.01,0.49,0.20,0.00","1.000,0.995,1.017,1.015,0.980,1.026"
24,10089.53216887231,-1.0609279363028427e-05,"0.00,0.31,0.01,0.48,0.20,0.00","1.000,1.000,1.000,1.000,1.000,1.000"
25,10089.530807809277,-1.3489853666945543e-07,"0.00,0.31,0.01,0.48,0.20,0.00","1.000,1.000,1.000,1.000,1.000,1.000"
26,10449.155416518892,0.03502282118717631,"0.00,0.31,0.01,0.48,0.20,0.00","1.000,1.027,1.015,1.039,1.041,1.031"
27,10359.662584906051,-0.008601486482401501,"0.00,0.30,0.01,0.49,0.20,0.00","1.000,0.980,1.013,0.999,0.990,1.014"
28,10538.0253758863,0.017070512544030622,"0.00,0.31,0.01,0.48,0.20,0.00","1.000,1.018,1.005,1.026,0.995,1.009"
29,10454.599360656312,-0.007948168032196185,"0.00,0.31,0.01,0.48,0.20,0.00","1.000,0.984,0.986,0.990,1.009,1.002"
