,0,1,2,3
0,10036.670245820018,0.0036603174391968544,"0.12,0.19,0.12,0.12,0.12,0.33","1.000,0.985,1.040,1.021,1.008,1.001"
1,10073.900323017264,0.0037025423621374655,"0.12,0.19,0.12,0.12,0.12,0.33","1.000,0.977,1.100,0.985,0.987,0.999"
2,10078.621503863365,0.00046854492683645534,"0.12,0.19,0.12,0.12,0.12,0.33","1.000,0.987,1.038,0.966,1.001,1.008"
3,10078.612018907865,-9.410969506654015e-07,"0.12,0.19,0.12,0.12,0.12,0.33","1.000,1.000,1.000,1.000,1.000,1.000"
4,10078.613099477954,1.0721417090039019e-07,"0.12,0.19,0.12,0.12,0.12,0.33","1.000,1.000,1.000,1.000,1.000,1.000"
5,10078.61418004816,1.0721417090039019e-07,"0.12,0.19,0.12,0.12,0.12,0.33","1.000,1.000,1.000,1.000,1.000,1.000"
6,10262.879112701392,0.018117644596954197,"0.12,0.19,0.12,0.12,0.12,0.33","1.000,1.027,1.011,1.020,1.015,1.023"
7,10232.660303487366,-0.0029488202772122904,"0.12,0.19,0.12,0.12,0.12,0.33","1.000,1.016,0.985,0.980,1.008,0.991"
8,10247.810540076902,0.001479481547933474,"0.12,0.19,0.12,0.12,0.12,0.33","1.000,0.985,1.002,1.010,0.994,1.011"
9,9729.295973620297,-0.05192253959811647,"0.12,0.19,0.12,0.12,0.12,0.33","1.000,0.911,0.969,0.900,0.946,0.966"
10,9728.156302706153,-0.00011714492722504554,"0.12,0.19,0.12,0.12,0.12,0.33","1.000,1.000,1.000,1.000,1.000,1.000"
11,9728.15734570242,1.0721417090039019e-07,"0.12,0.19,0.12,0.12,0.12,0.33","1.000,1.000,1.000,1.000,1.000,1.000"
12,9002.386270582494,-0.07753481624177005,"0.12,0.19,0.12,0.12,0.12,0.33","1.000,0.900,0.977,0.900,0.933,0.901"
13,9002.834649014936,4.980537973265423e-05,"0.12,0.19,0.12,0.12,0.12,0.33","1.000,0.998,1.071,0.987,0.999,0.981"
14,8967.404686192323,-0.003943187185131003,"0.12,0.19,0.12,0.12,0.12,0.33","1.000,1.008,1.021,1.023,1.001,0.967"
15,8864.293452487671,-0.011565066004062428,"0.12,0.19,0.12,0.12,0.12,0.33","1.000,0.995,0.998,0.974,0.959,0.993"
16,8843.908241733576,-0.002302347817235747,"0.12,0.19,0.12,0.12,0.12,0.33","1.000,0.983,0.973,0.995,1.003,1.013"
17,8843.864841988458,-4.907315908340185e-06,"0.12,0.19,0.12,0.12,0.12,0.33","1.000,1.000,1.000,1.000,1.000,1.000"
18,8843.865790176145,1.0721417090039019e-07,"0.12,0.19,0.12,0.12,0.12,0.33","1.000,1.000,1.000,1.000,1.000,1.000"
19,9082.170742682956,0.026589144978372992,"0.12,0.19,0.12,0.12,0.12,0.33","1.000,1.040,0.988,1.066,1.011,1.035"
20,9076.30219718022,-0.0006463699592461908,"0.12,0.19,0.12,0.12,0.12,0.33","1.000,0.987,1.000,0.987,1.024,1.001"
21,8740.243068416838,-0.03772886234663594,"0.12,0.19,0.12,0.12,0.12,0.33","1.000,0.919,0.973,0.952,0.964,0.975"
22,8819.86986980525,0.00906911560712493,"0.12,0.19,0.12,0.12,0.12,0.33","1.000,1.006,1.001,1.005,1.002,1.022"
23,8880.903953041498,0.006896232417322949,"0.12,0.19,0.12,0.12,0.12,0.33","1.000,1.029,1.004,1.006,1.006,0.999"
24,8880.770238733987,-1.5056498173407199e-05,"0.12,0.19,0.12,0.12,0.12,0.33","1.000,1.000,1.000,1.000,1.000,1.000"
25,8880.771190878457,1.0721417090039019e-07,"0.12,0.19,0.12,0.12,0.12,0.33","1.000,1.000,1.000,1.000,1.000,1.000"
26,9087.339180074878,0.02299374682212824,"0.12,0.19,0.12,0.12,0.12,0.33","1.000,1.048,1.019,1.018,1.011,1.025"
