,0,1,2,3
0,10376.019459579888,0.036912229459730904,"0.00,0.00,1.00,0.00,0.00,0.00","1.000,0.985,1.040,1.021,1.008,1.001"
1,10173.22224509829,-0.01973832431653089,"0.00,0.00,0.00,1.00,0.00,0.00","1.000,0.977,1.100,0.985,0.987,0.999"
2,10504.005674534857,0.031997679089194174,"0.00,0.00,1.00,0.00,0.00,0.00","1.000,0.987,1.038,0.966,1.001,1.008"
3,10503.0562930282,-9.03868907294599e-05,"0.00,0.00,1.00,0.00,0.00,0.00","1.000,1.000,1.000,1.000,1.000,1.000"
4,10503.057340708065,9.97499950626707e-08,"0.00,0.00,1.00,0.00,0.00,0.00","1.000,1.000,1.000,1.000,1.000,1.000"
5,10476.800750287792,-0.0025030297168705377,"1.00,0.00,0.00,0.00,0.00,0.00","1.000,1.000,1.000,1.000,1.000,1.000"
6,10476.801797967868,9.999999505838704e-08,"1.00,0.00,0.00,0.00,0.00,0.00","1.000,1.027,1.011,1.020,1.015,1.023"
7,10476.802845648048,9.999999505838704e-08,"1.00,0.00,0.00,0.00,0.00,0.00","1.000,1.016,0.985,0.980,1.008,0.991"
8,10470.363467124404,-0.0006148209863174719,"0.00,0.00,1.00,0.00,0.00,0.00","1.000,0.985,1.002,1.010,0.994,1.011"
9,9490.141622764848,-0.09829520350375708,"0.00,1.00,0.00,0.00,0.00,0.00","1.000,0.911,0.969,0.900,0.946,0.966"
10,9464.110134425364,-0.0027467720741207857,"1.00,0.00,0.00,0.00,0.00,0.00","1.000,1.000,1.000,1.000,1.000,1.000"
11,9440.450805500313,-0.0025030299674969883,"0.00,1.00,0.00,0.00,0.00,0.00","1.000,1.000,1.000,1.000,1.000,1.000"
12,9416.850624891755,-0.0025030297168705377,"1.00,0.00,0.00,0.00,0.00,0.00","1.000,0.900,0.977,0.900,0.933,0.901"
13,9416.851566576817,9.999999505838704e-08,"1.00,0.00,0.00,0.00,0.00,0.00","1.000,0.998,1.071,0.987,0.999,0.981"
14,9588.038487031905,0.018015526527252076,"0.00,0.00,1.00,0.00,0.00,0.00","1.000,1.008,1.021,1.023,1.001,0.967"
15,9567.630618755347,-0.002130740083775979,"0.00,0.00,1.00,0.00,0.00,0.00","1.000,0.995,0.998,0.974,0.959,0.993"
16,9358.450229615917,-0.02210588754206392,"0.00,1.00,0.00,0.00,0.00,0.00","1.000,0.983,0.973,0.995,1.003,1.013"
17,9311.25773609222,-0.005055525680832152,"0.00,0.00,1.00,0.00,0.00,0.00","1.000,1.000,1.000,1.000,1.000,1.000"
18,9264.702380865347,-0.00501244106978055,"0.00,0.00,0.00,0.00,0.00,1.00","1.000,1.000,1.000,1.000,1.000,1.000"
19,9241.541553699597,-0.0025030297168705377,"1.00,0.00,0.00,0.00,0.00,0.00","1.000,1.040,0.988,1.066,1.011,1.035"
20,9241.542477853753,9.999999505838704e-08,"1.00,0.00,0.00,0.00,0.00,0.00","1.000,0.987,1.000,0.987,1.024,1.001"
21,8771.540137668979,-0.05219640125906491,"0.00,0.00,0.00,1.00,0.00,0.00","1.000,0.919,0.973,0.952,0.964,0.975"
22,8741.067416422626,-0.0034800930594647873,"0.00,0.00,0.00,0.00,1.00,0.00","1.000,1.006,1.001,1.005,1.002,1.022"
23,8719.251684675515,-0.0024988939747437383,"1.00,0.00,0.00,0.00,0.00,0.00","1.000,1.029,1.004,1.006,1.006,0.999"
24,8697.454427388995,-0.0025030299674969883,"0.00,0.00,0.00,0.00,0.00,1.00","1.000,1.000,1.000,1.000,1.000,1.000"
25,8653.968027171855,-0.00501244106978055,"0.00,1.00,0.00,0.00,0.00,0.00","1.000,1.000,1.000,1.000,1.000,1.000"
26,8632.33397466422,-0.0025030297168705377,"1.00,0.00,0.00,0.00,0.00,0.00","1.000,1.048,1.019,1.018,1.011,1.025"
27,8632.334837897617,9.999999505838704e-08,"1.00,0.00,0.00,0.00,0.00,0.00","1.000,1.040,0.957,1.014,0.991,0.995"
28,8452.537583283101,-0.021048315506431436,"0.00,1.00,0.00,0.00,0.00,0.00","1.000,0.982,0.997,0.992,0.989,0.996"
29,8439.518745318494,-0.0015414157150605136,"0.00,1.00,0.00,0.00,0.00,0.00","1.000,0.999,1.001,1.009,0.988,1.005"
30,8691.512190682479,0.029421652891436927,"0.00,0.00,0.00,1.00,0.00,0.00","1.000,0.977,1.008,1.035,1.035,1.018"
31,8670.516279309797,-0.0024186023705516325,"1.00,0.00,0.00,0.00,0.00,0.00","1.000,1.000,1.000,1.000,1.000,1.000"
32,8648.840855663151,-0.0025030299674969883,"0.00,0.00,0.00,1.00,0.00,0.00","1.000,1.000,1.000,1.000,1.000,1.000"
33,8627.219620570288,-0.0025030297168705377,"1.00,0.00,0.00,0.00,0.00,0.00","1.000,1.002,0.987,1.007,0.979,0.995"
34,8627.22048329225,9.999999505838704e-08,"1.00,0.00,0.00,0.00,0.00,0.00","1.000,1.035,1.025,1.033,1.040,1.044"
35,8745.829698522783,0.01365460375195205,"0.00,1.00,0.00,0.00,0.00,0.00","1.000,1.016,0.992,1.006,0.999,1.002"
36,8702.451005678944,-0.004972270099483964,"0.00,0.00,0.00,0.00,0.00,1.00","1.000,1.000,1.008,1.098,1.016,1.000"
37,8779.104280853166,0.008769673542514995,"0.00,1.00,0.00,0.00,0.00,0.00","1.000,1.014,1.044,0.992,1.004,1.006"
38,8735.508569568803,-0.0049782203799210185,"0.00,0.00,0.00,1.00,0.00,0.00","1.000,1.000,1.000,1.000,1.000,1.000"
39,8691.831902455693,-0.00501244106978055,"0.00,0.00,1.00,0.00,0.00,0.00","1.000,1.000,1.000,1.000,1.000,1.000"
40,8670.1031940557,-0.0025030297168705377,"1.00,0.00,0.00,0.00,0.00,0.00","1.000,0.981,0.987,0.986,1.015,1.010"
41,8670.10406106602,9.999999505838704e-08,"1.00,0.00,0.00,0.00,0.00,0.00","1.000,0.988,0.998,0.973,0.986,1.025"
42,8601.199529069705,-0.00797911949278387,"0.00,0.00,0.00,0.00,1.00,0.00","1.000,1.006,0.976,0.983,0.995,1.000"
43,8558.076615164427,-0.005026203241473516,"0.00,0.00,0.00,0.00,0.00,1.00","1.000,1.000,1.000,1.000,1.000,1.000"
44,8515.287090035787,-0.00501244106978055,"0.00,1.00,0.00,0.00,0.00,0.00","1.000,1.000,1.000,1.000,1.000,1.000"
45,8493.999725968228,-0.0025030297168705377,"1.00,0.00,0.00,0.00,0.00,0.00","1.000,1.000,1.000,1.000,1.000,1.000"
46,8494.000575368202,9.999999505838704e-08,"1.00,0.00,0.00,0.00,0.00,0.00","1.000,1.000,1.000,1.000,1.000,1.000"
47,8494.00142476826,9.999999505838704e-08,"1.00,0.00,0.00,0.00,0.00,0.00","1.000,0.927,0.937,0.960,0.925,0.993"
48,8494.002274168402,9.999999505838704e-08,"1.00,0.00,0.00,0.00,0.00,0.00","1.000,1.010,0.978,0.995,1.008,1.022"
49,9058.240922339017,0.06431464289216415,"0.00,0.00,0.00,0.00,0.00,1.00","1.000,1.034,1.028,1.035,1.025,1.069"
50,9037.056486739153,-0.0023414310137306253,"1.00,0.00,0.00,0.00,0.00,0.00","1.000,0.985,1.097,1.000,0.984,1.019"
51,8978.171349682816,-0.0065372858229701975,"0.00,0.00,0.00,0.00,0.00,1.00","1.000,1.010,0.970,1.015,1.042,0.996"
52,8933.190887254643,-0.005022572419721052,"0.00,0.00,1.00,0.00,0.00,0.00","1.000,1.000,1.000,1.000,1.000,1.000"
53,8888.525828370755,-0.00501244106978055,"0.00,0.00,0.00,0.00,1.00,0.00","1.000,1.000,1.000,1.000,1.000,1.000"
54,8866.305404874542,-0.0025030297168705377,"1.00,0.00,0.00,0.00,0.00,0.00","1.000,0.978,1.000,0.985,0.979,0.925"
55,8866.306291505083,9.999999505838704e-08,"1.00,0.00,0.00,0.00,0.00,0.00","1.000,1.005,1.000,0.974,0.987,0.975"
56,8866.307178135712,9.999999505838704e-08,"1.00,0.00,0.00,0.00,0.00,0.00","1.000,1.025,0.980,1.038,1.054,1.017"
57,8477.462926344015,-0.04484716065290428,"0.00,0.00,0.00,1.00,0.00,0.00","1.000,0.988,0.966,0.959,1.005,0.993"
58,8784.908082893267,0.03562403679853069,"0.00,0.00,0.00,0.00,1.00,0.00","1.000,0.969,1.016,0.972,1.041,0.961"
59,8784.036395400137,-9.923049104323725e-05,"0.00,0.00,0.00,0.00,1.00,0.00","1.000,1.000,1.000,1.000,1.000,1.000"
60,8762.077185011285,-0.0025030297168705377,"1.00,0.00,0.00,0.00,0.00,0.00","1.000,1.000,1.000,1.000,1.000,1.000"
